# Generated by Scripts/prepare-audio-assets.sh. Do not edit directly.
# asset_name	source_sha256	encode_profile
sfx_ability_draw	157998d6098a422027b3c397d2bad153dd2fa81c5fcec35956e4197e9676ebc4	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_block	6a4bbb4556c922dfd98d2356c924b8635dbbd3a88e9c21a8e94591141ee69c64	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_buff	f542529666981bdf307b246e32e1548bb55ffc97cdd0d90e425f98870e77e384	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_control_freeze	88ddc85013a00584c1e80aa4d036dc1134bbf35662c44030dfd38d0ca7b81bff	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_control_stun	9f6439ddaa9e248a5e0a4ca96b7e96dce2d6caeb43bb019b8f4e40e0e164f12b	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_deaths_door	58a16863d12e2bbab51c1da3b2d7a8912d4c4f0435909f273a8e07c3bf097120	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_defeat	ade5f9a32c63f07749eab5c1fff3eb384afddaf5d22b974ad4588d9a39df4753	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_heal	2847537ec06e3c644f987485fe128128da8c18497630154bc8429ed39e7933b9	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_hit	4b194d121fd7ab9823bca81a13f074af00c27dac7cd1d765a5dc5e683543615d	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_hit_burn	7b515ce1c85396b7ebabb9dc9876e892a0f642c8d696cf03aa69aa83cb6f30d3	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_hit_freeze	cd5b436a0c0c7866f6073f289c733a2201b34d345f2691a9a060b5c2aec0e3c0	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_mystery_event	a3413b48f82648d9ee8ec65b72dab8387a87fbaa968dd4472b1d7fd223aa6e7b	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_purge	ef2ba58846d5bd455760d146f7024f550521ccbac1c3c57679cd220b7ec326a1	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_ui_buy_sell	d059d48d59e8a32a5e018c541f3da8dca388d0dbe8be74cb13bd3a1ca72c17a5	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_ui_cancel	b2decd7370a5e31b16d618bbd5336e1f34522cdb1b84a3e086f8d1a054569dc3	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_ui_confirm	09761e890ddae3ae92e6d157394770e9d64bc08ac6949072551959731975e81f	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_ui_deny	5171f4d778858ac7764fb16b08c71db90b7ac74186ac93061b1b227b7b6e1029	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_ui_equip	786d2b95b31cfbc670abb5ae268e526c6330badcbc2bd3c1b4d1f5535a6cd086	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_ui_toggle_off	297909c316af46801383ac4248b37223d649347fc713d3e9a4c916f87160ac85	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_ui_toggle_on	1ecf47d1328e040225962d7b84c646605a47eb793ca260a72699448ca3c514ee	container=m4af;codec=aac;bitrate=64000;soundcheck=true
sfx_victory	c15d53b754283495fea4e7908023cd4391c41f91966968a57f7f075b886f62ad	container=m4af;codec=aac;bitrate=64000;soundcheck=true
